nll,context,environment,tau,beta,lambda,id,round,trial,chosen,contextOrder
15995733915.286594,Spatial,0,4.217569987549005,6.6764299886922265,0.9086047582159132,0,0,0,46,0
15995733915.286594,Spatial,0,20.085536923187668,0.04978706836786394,0.26530522329009915,0,0,1,20,0
15995733915.286594,Spatial,0,20.085536923187668,0.04978706836786394,0.06421483116855964,0,0,2,32,0
15995733915.286594,Spatial,0,20.085536923187668,0.04978706836786394,0.4670876616641458,0,0,3,45,0
15995733915.286594,Spatial,0,0.04978706836786394,0.04978706836786394,0.09773111539359472,0,0,4,7,0
15995733915.286594,Spatial,0,0.07724848678063738,0.04978706836786394,0.2086900893396927,0,0,5,14,0
15995733915.286594,Spatial,0,2.3824137522912214,0.5634904860846447,0.43404514934337424,0,0,6,6,0
15995733915.286594,Spatial,0,17.90121922222133,2.9258031741860018,0.3613769725029365,0,0,7,15,0
15995733915.286594,Spatial,0,3.3192817927195994,0.3842311429402892,0.3804167576957233,0,0,8,23,0
15995733915.286594,Spatial,0,0.7935104885924555,0.19120118825791632,0.3650164787210687,0,0,9,22,0
15995733915.286594,Spatial,0,13.288793742083895,0.7790129154891391,0.3682532699449721,0,0,10,13,0
15995733915.286594,Spatial,0,2.765420981701206,0.6466968343052815,0.3697286245836491,0,0,11,33,0
15995733915.286594,Spatial,0,0.1774364466531215,0.05979094223727175,0.3627627347800283,0,0,12,0,0
15995733915.286594,Spatial,0,13.875928132553327,0.4380084897617895,0.3678536065476525,0,0,13,2,0
15995733915.286594,Spatial,0,18.633859246933447,0.8260274855019127,0.3581676598318821,0,0,14,16,0
15995733915.286594,Spatial,0,0.9426001738442409,0.15145590255979174,0.3620272134290489,0,0,15,9,0
15995733915.286594,Spatial,0,8.40354615666068,0.1346050594753127,0.35245085831905176,0,0,16,35,0
15995733915.286594,Spatial,0,0.1338358046161588,0.35207642142800744,0.3638666956087144,0,0,17,63,0
15995733915.286594,Spatial,0,3.920856014320098,15.661938746388048,0.3678452928496374,0,0,18,56,0
15995733915.286594,Spatial,0,14.099124568163743,0.8419470728560688,0.3742046057751004,0,0,19,7,0
40624797262.431335,Spatial,0,0.908728983599632,0.7512097178616415,0.3309226491405626,0,1,0,16,0
