nll,context,environment,beta,lambda,id,round,trial,chosen,contextOrder
16831.54099322378,Spatial,0,0.7852242255382119,0.8202957485628867,0,0,0,46,0
16831.54099322378,Spatial,0,0.009138337301623455,0.028007577382901813,0,0,1,20,0
16831.54099322378,Spatial,0,0.006737946999085467,0.09782937092761018,0,0,2,32,0
16831.54099322378,Spatial,0,0.006737946999085467,0.08142440908472698,0,0,3,45,0
16831.54099322378,Spatial,0,0.006737946999085467,0.051954499214928,0,0,4,7,0
16831.54099322378,Spatial,0,0.006737946999085467,0.13598076699806547,0,0,5,14,0
16831.54099322378,Spatial,0,0.006737946999085467,0.32325133856127963,0,0,6,6,0
16831.54099322378,Spatial,0,0.006737946999085467,0.32820845552049216,0,0,7,15,0
16831.54099322378,Spatial,0,0.2323799289132476,0.20110310186777225,0,0,8,23,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3701803047802209,0,0,9,22,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3614475499780806,0,0,10,13,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3709568881684452,0,0,11,33,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3697753760821399,0,0,12,0,0
16831.54099322378,Spatial,0,0.006737946999085467,0.36978020869447875,0,0,13,2,0
16831.54099322378,Spatial,0,0.006737946999085467,0.39317886820386694,0,0,14,16,0
16831.54099322378,Spatial,0,0.006737946999085467,0.32999267212508293,0,0,15,9,0
16831.54099322378,Spatial,0,0.006737946999085467,0.36793520324483875,0,0,16,35,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3779944089031291,0,0,17,63,0
16831.54099322378,Spatial,0,0.006737946999085467,0.24246028288871785,0,0,18,56,0
16831.54099322378,Spatial,0,0.006737946999085467,0.3321843511282109,0,0,19,7,0
15995.290148215066,Spatial,0,0.6736392565865177,1.2428446576496361,0,1,0,16,0
15995.290148215066,Spatial,0,0.007130099802149476,0.41546011632654356,0,1,1,56,0
15995.290148215066,Spatial,0,0.007289168069407639,0.0077915274400310805,0,1,2,7,0
15995.290148215066,Spatial,0,0.008224214969763496,0.011985204094714614,0,1,3,63,0
15995.290148215066,Spatial,0,0.006737946999085467,0.04435149423562288,0,1,4,31,0
15995.290148215066,Spatial,0,0.006737946999085467,0.021023063048715103,0,1,5,29,0
15995.290148215066,Spatial,0,0.007558188715910159,0.043947948189839756,0,1,6,30,0
15995.290148215066,Spatial,0,0.041684463368158724,0.04087914316970738,0,1,7,39,0
15995.290148215066,Spatial,0,0.006737946999085467,0.14807608492334248,0,1,8,60,0
15995.290148215066,Spatial,0,0.006737946999085467,0.11097436483239967,0,1,9,4,0
15995.290148215066,Spatial,0,0.006737946999085467,0.08069430326160716,0,1,10,32,0
15995.290148215066,Spatial,0,0.006737946999085467,0.01992914174747621,0,1,11,28,0
15995.290148215066,Spatial,0,0.006737946999085467,0.28934891140477076,0,1,12,12,0
15995.290148215066,Spatial,0,0.006737946999085467,0.19057644734689508,0,1,13,21,0
15995.290148215066,Spatial,0,0.006737946999085467,0.2997991874479502,0,1,14,11,0
15995.290148215066,Spatial,0,0.006737946999085467,0.2784181602342978,0,1,15,19,0
15995.290148215066,Spatial,0,0.006737946999085467,0.3066857784585423,0,1,16,37,0
15995.290148215066,Spatial,0,0.006737946999085467,0.3203811465893142,0,1,17,36,0
15995.290148215066,Spatial,0,0.006737946999085467,0.3093427590676985,0,1,18,35,0
15995.290148215066,Spatial,0,0.006737946999085467,0.20419508256451518,0,1,19,43,0
14059.508609787892,Spatial,0,0.08859029958805922,0.2903838644232308,0,2,0,49,0
14059.508609787892,Spatial,0,0.006737946999085467,0.2743406919449075,0,2,1,9,0
14059.508609787892,Spatial,0,0.01149616712084351,0.3752740920567052,0,2,2,8,0
14059.508609787892,Spatial,0,0.0807627434153458,0.3518442447992516,0,2,3,0,0
14059.508609787892,Spatial,0,0.12868822046096628,0.3858372230356668,0,2,4,1,0
14059.508609787892,Spatial,0,0.18152952410654896,0.38918560113778716,0,2,5,10,0
14059.508609787892,Spatial,0,0.17216597277967427,0.3500829936371753,0,2,6,11,0
14059.508609787892,Spatial,0,0.20440512896483487,0.4216177346607931,0,2,7,16,0
14059.508609787892,Spatial,0,0.27720540439598323,0.30048635846910654,0,2,8,17,0
14059.508609787892,Spatial,0,0.23336348298393006,0.35839194090507925,0,2,9,18,0
14059.508609787892,Spatial,0,0.2887814033778254,0.349757176669886,0,2,10,19,0
14059.508609787892,Spatial,0,0.2459215620580198,0.36810104687170836,0,2,11,24,0
14059.508609787892,Spatial,0,0.2431851052618558,0.3549819412394075,0,2,12,25,0
14059.508609787892,Spatial,0,0.23826504205467527,0.313159957451056,0,2,13,26,0
