nll,context,environment,beta,lambda,id,round,trial,chosen,contextOrder
15840.302012445083,Spatial,0,0.7368417150804065,0.6176139264814107,30,0,0,0,1
15840.302012445083,Spatial,0,0.0077112553846481816,0.0762909058572888,30,0,1,4,1
15840.302012445083,Spatial,0,0.0068386753518705455,0.3270703128625471,30,0,2,24,1
15840.302012445083,Spatial,0,0.06118090540618838,0.3270966586006764,30,0,3,32,1
15840.302012445083,Spatial,0,0.07927252852173082,0.014416671118649914,30,0,4,17,1
15840.302012445083,Spatial,0,0.05439515458786512,0.05900157590159784,30,0,5,19,1
15840.302012445083,Spatial,0,0.07608025510199372,0.03013628066854477,30,0,6,16,1
15840.302012445083,Spatial,0,0.10796566004941091,0.054337126852435726,30,0,7,25,1
15840.302012445083,Spatial,0,0.10530988330814094,0.008948493568219945,30,0,8,25,1
15840.302012445083,Spatial,0,0.09886952483643313,0.08499993719764627,30,0,9,25,1
15840.302012445083,Spatial,0,0.0807109090682801,0.18811566867952456,30,0,10,25,1
15840.302012445083,Spatial,0,0.08214316097074696,0.22019393846823518,30,0,11,25,1
15840.302012445083,Spatial,0,0.07632295065166055,0.2579069245064775,30,0,12,25,1
15840.302012445083,Spatial,0,0.10708411055185335,0.04665776797050499,30,0,13,25,1
15840.302012445083,Spatial,0,0.08748078393228446,0.14852210492327958,30,0,14,25,1
15840.302012445083,Spatial,0,0.10605277698940754,0.0073605999367651045,30,0,15,25,1
15840.302012445083,Spatial,0,0.08686254662941835,0.13017784850900233,30,0,16,25,1
15840.302012445083,Spatial,0,0.07849856411686369,0.2927376399848954,30,0,17,25,1
15840.302012445083,Spatial,0,0.0868597687473415,0.17020467166760198,30,0,18,25,1
15840.302012445083,Spatial,0,0.0868597687473415,0.3197628108467604,30,0,19,25,1
11674.31232718352,Spatial,0,1.2850763632081088,2.5319186606621944,30,1,0,27,1
11674.31232718352,Spatial,0,0.4965289302524764,0.523218819118053,30,1,1,27,1
11674.31232718352,Spatial,0,0.33592113087958786,1.1381399830855763,30,1,2,27,1
11674.31232718352,Spatial,0,0.36853880227280983,1.0171186551312208,30,1,3,27,1
11674.31232718352,Spatial,0,0.38193489608062836,0.9713235096467809,30,1,4,27,1
11674.31232718352,Spatial,0,0.3404349693394831,0.6056244465544679,30,1,5,19,1
11674.31232718352,Spatial,0,0.3401994725812178,0.6059567166986656,30,1,6,27,1
11674.31232718352,Spatial,0,0.33301856401372176,0.6059621906932608,30,1,7,28,1
11674.31232718352,Spatial,0,0.29227456465447677,0.6059964118883882,30,1,8,29,1
11674.31232718352,Spatial,0,0.32151193134649764,0.6143427522804672,30,1,9,35,1
11674.31232718352,Spatial,0,0.36556313535401025,0.6195614428575925,30,1,10,44,1
11674.31232718352,Spatial,0,0.3516532186219592,0.4123737746316489,30,1,11,44,1
11674.31232718352,Spatial,0,0.35857394573000495,0.29395250588665317,30,1,12,44,1
11674.31232718352,Spatial,0,0.3562677815452792,0.29407631750516366,30,1,13,43,1
11674.31232718352,Spatial,0,0.3572943843584021,0.2942214966246599,30,1,14,45,1
11674.31232718352,Spatial,0,0.34460953842819847,0.29402040117054346,30,1,15,51,1
11674.31232718352,Spatial,0,0.33953274651692716,0.2941163509978239,30,1,16,46,1
